index,mean_intensity,edge_density,texture_variance,glcm_contrast_d1,glcm_homogeneity_d1,glcm_energy_d1,glcm_correlation_d1,glcm_contrast_d2,glcm_homogeneity_d2,glcm_energy_d2,glcm_correlation_d2,glcm_contrast_d4,glcm_homogeneity_d4,glcm_energy_d4,glcm_correlation_d4,glcm_contrast_d8,glcm_homogeneity_d8,glcm_energy_d8,glcm_correlation_d8,phase_fraction,fft_energy_ratio,run_length_mean,E_x
9208,0.350143,0.01123,14795.9842,31.37261,0.992098,0.733503,0.982594,62.93121,0.984148,0.728856,0.965011,126.0,0.968262,0.719785,0.929637,252.688666,0.93635,0.702357,0.857598,0.350143,0.984247,84.8912,1851.0185
9209,0.198959,0.015274,10363.3286,32.953401,0.991699,0.820377,0.973952,64.518224,0.983749,0.815676,0.948991,124.277344,0.968696,0.807111,0.901609,229.37029,0.942224,0.793004,0.81752,0.198959,0.959671,82.1253,1505.8058
9210,0.376221,0.033112,15259.9815,76.607537,0.980703,0.71525,0.958888,153.024775,0.961455,0.702358,0.917902,304.356445,0.923336,0.677716,0.836808,596.962906,0.849632,0.633665,0.680452,0.376221,0.95511,43.2296,1868.4029
9211,0.048904,0.034164,3024.4933,38.972564,0.990183,0.947233,0.894446,77.214336,0.980551,0.942276,0.790904,148.394531,0.962621,0.933264,0.598094,259.752945,0.934571,0.919794,0.294897,0.048904,0.524529,73.0613,1059.7658
9212,0.04776,0.032898,2957.2714,100.197794,0.974761,0.940455,0.722388,187.389733,0.952799,0.929585,0.480528,294.451172,0.925831,0.916834,0.182333,354.526824,0.910699,0.910369,0.006225,0.04776,0.52527,34.4202,1075.5498
9213,0.097183,0.066696,5705.2056,257.97284,0.935019,0.873951,0.629515,465.056148,0.882857,0.849277,0.331535,678.480469,0.829098,0.826476,0.024373,702.239431,0.823113,0.824375,-0.012309,0.097183,0.539226,14.5668,1261.4115
9214,0.075897,0.010742,4560.6473,25.657445,0.993537,0.924245,0.953609,51.272761,0.987085,0.921321,0.90667,102.251953,0.974244,0.915645,0.811257,200.175435,0.949578,0.905191,0.620043,0.075897,0.929173,96.6608,1128.3984
9215,0.320251,0.039734,14155.3224,97.218612,0.975512,0.734955,0.943813,191.357268,0.951799,0.719469,0.88954,363.049805,0.908552,0.692386,0.790921,609.341025,0.846514,0.656262,0.650575,0.320251,0.933102,35.3294,1628.1107
9216,0.093628,0.032837,5518.1347,89.31466,0.977503,0.899065,0.867384,175.36505,0.955827,0.887769,0.739536,326.566406,0.917741,0.868862,0.514775,504.502111,0.872921,0.848541,0.247979,0.093628,0.819778,37.9919,1204.7328
9217,0.097046,0.064697,5698.0102,51.618888,0.986998,0.901342,0.925575,102.240327,0.974247,0.894824,0.85212,198.105469,0.950099,0.882859,0.711715,352.463804,0.911218,0.864698,0.481826,0.097046,0.550099,59.3086,1124.741
